Wikipedia_language	Wikipedia_article	Infobox_name	Parameter_name	Reference_name	Reference_direct_code
pt	Arara-azul-de-lear	Info/Taxonomia	estado_ref	IUCN	{{citar IUCN|assessores=[[BirdLife International]]|ano=2016|id=22685521|título=Anodorhynchus leari |acessodata=16 de agosto de 2017|anoIUCN1=2017|anoIUCN2=2017|versão=1}}
pt	Ararinha-azul	Info/Taxonomia	estado_ref	IUCN	{{Citar IUCN |assessores=[[BirdLife International]] |ano=2016 |id=22685533 |título=Cyanopsitta spixii |anoIUCN1=2017 |anoIUCN2=2017 |versão=1 |acessodata=17 de agosto de 2017}}
pt	Aristóteles	Info/Filósofo	morte_local	FIGUEIREDO2007	{{citar livro|autor=Vinicius de Figueiredo|título=Filósofos na sala de aula -Vol 3|url=http://books.google.com/books?id=tFTMAAb5vhkC&amp;pg=PA15|ano=2007|publicado=Berlendis &amp; Vertecch|isbn=978-85-7723-009-9|página=15}}
pt	Andrew Wiles	Info/Cientista	orientador	<noname_ref>	{{MathGenealogy|id=9696}}
pt	Andrew Wiles	Info/Cientista	premio	P_Fermat	{{citar web |url=https://www.math.univ-toulouse.fr/spip.php?article240&amp;lang=fr |titulo=Lauréats des années précédentes |autorlink=www.math.univ-toulouse.fr |publicado=Institut de Mathématiques de Toulouse |lingua=francês |arquivourl=https://web.archive.org/web/20160718215216/https://www.math.univ-toulouse.fr/spip.php?article240&amp;lang=fr |arquivodata=18 de Julho de 2016 |acessodata=18 de Julho de 2016 }}
pt	Andrew Wiles	Info/Cientista	premio	<noname_ref>	{{citar web|url=https://royalsociety.org/news/2017/05/mathematician-andrew-wiles-wins-royal-society-copley-medal |título=Mathematician Sir Andrew Wiles FRS wins the Royal Society’s prestigious Copley Medal|website=The Royal Society|acessodata=24 de junho de 2017}}
pt	Armin van Buuren	Info/Música/artista	nascimento_país	armadaartistpg	{{Citar web|url=http://www.armadamusic.com/artist/armin-van-buuren/|acessodata=17 de dezembro de 2011|título=Armin van Buuren – Armada Music}}
pt	Brasileiros	Info/Grupo étnico	população	Pop_IBGE_2017	{{citar web|url=http://www.ibge.gov.br/apps/populacao/projecao/index.html|título="IBGE"|data=14 de Setembro de 2017|publicado=Instituto Brasileiro de Geografia e Estatística|acessodata=14 de Setembro de 2017}}
pt	Brasileiros	Info/Grupo étnico	população1	brasileirosnomundo.itamaraty	{{citar web |url=http://www.brasileirosnomundo.itamaraty.gov.br/a-comunidade/estimativas-populacionais-das-comunidades/APENDICE%20Diplomacia%20Consular%20-%20Brasileiros%20no%20Mundo.pdf|título=Apêndice: Número e distribuição dos brasileiros no mundo|editor=[[Ministério das Relações Exteriores (Brasil)|Ministério das Relações Exteriores]]|data=1 de junho de 2012 |acessodata=6 de março de 2014}}
pt	Brasileiros	Info/Grupo étnico	população2	brasileirosnomundo.itamaraty	{{citar web |url=http://www.brasileirosnomundo.itamaraty.gov.br/a-comunidade/estimativas-populacionais-das-comunidades/APENDICE%20Diplomacia%20Consular%20-%20Brasileiros%20no%20Mundo.pdf|título=Apêndice: Número e distribuição dos brasileiros no mundo|editor=[[Ministério das Relações Exteriores (Brasil)|Ministério das Relações Exteriores]]|data=1 de junho de 2012 |acessodata=6 de março de 2014}}
